vorname,nachname,verein,position,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34
Enzo,Millot,VfB Stuttgart,MIDFIELDER,-5.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahidullah,Faghir,VfB Stuttgart,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian,Arnold,VfL Wolfsburg,MIDFIELDER,127.0,147.0,100.0,92.0,92.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koen,Casteels,VfL Wolfsburg,GOAL_KEEPER,137.0,144.0,124.0,135.0,45.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Ginczek,VfL Wolfsburg,FORWARD,0.0,36.0,-1.0,0.0,0.0,21.0,0.0,-17.0,31.0,-16.0,0.0,0.0,0.0,0.0,0.0,-11.0,15.0,0.0,0.0,-6.0,0.0,12.0,0.0,0.0,0.0,1.0,,,,,,,,
John Anthony,Brooks,VfL Wolfsburg,DEFENDER,178.0,77.0,92.0,43.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admir,Mehmedi,VfL Wolfsburg,FORWARD,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,Waldschmidt,VfL Wolfsburg,FORWARD,159.0,33.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian,Philipp,VfL Wolfsburg,FORWARD,157.0,29.0,63.0,71.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yannick,Gerhardt,VfL Wolfsburg,MIDFIELDER,19.0,31.0,158.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin,Stefaniak,VfL Wolfsburg,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josuha,Guilavogui,VfL Wolfsburg,MIDFIELDER,34.0,17.0,33.0,142.0,119.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas,Klinger,VfL Wolfsburg,GOAL_KEEPER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William,de Asevedo Furtado,VfL Wolfsburg,DEFENDER,15.0,0.0,-4.0,0.0,0.0,-12.0,72.0,33.0,3.0,22.0,72.0,25.0,-14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Bote,Baku,VfL Wolfsburg,MIDFIELDER,72.0,180.0,83.0,103.0,28.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato,Steffen,VfL Wolfsburg,MIDFIELDER,165.0,54.0,87.0,26.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wout,Weghorst,VfL Wolfsburg,FORWARD,153.0,104.0,78.0,235.0,89.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavao,Pervan,VfL Wolfsburg,GOAL_KEEPER,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,
Dodi,Lukebakio Ngandoli,VfL Wolfsburg,FORWARD,-17.0,141.0,-16.0,14.0,99.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jérôme,Roussillon,VfL Wolfsburg,DEFENDER,114.0,71.0,199.0,9.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo,Otávio,VfL Wolfsburg,DEFENDER,10.0,38.0,101.0,0.0,32.0,21.0,0.0,-15.0,122.0,82.0,99.0,36.0,83.0,188.0,148.0,179.0,126.0,111.0,167.0,-20.0,113.0,33.0,141.0,6.0,91.0,,,,,,,,,
Kevin,Mbabu,VfL Wolfsburg,DEFENDER,165.0,71.0,89.0,35.0,123.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xaver,Schlager,VfL Wolfsburg,MIDFIELDER,132.0,133.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas,Nmecha,VfL Wolfsburg,FORWARD,130.0,9.0,184.0,25.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastiaan,Bornauw,VfL Wolfsburg,DEFENDER,108.0,93.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz,Białek,VfL Wolfsburg,FORWARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,111.0,0.0,45.0,2.0,64.0,4.0,0.0,0.0,104.0,15.0,35.0,15.0,0.0,15.0,36.0,-8.0,33.0,0.0,0.0,-7.0,-14.0,8.0,-9.0,,,
Maxence,Lacroix,VfL Wolfsburg,DEFENDER,151.0,116.0,123.0,159.0,73.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster Jan,Vranckx,VfL Wolfsburg,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anselmo García,McNulty,VfL Wolfsburg,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Kalu,Nmecha,VfL Wolfsburg,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickey,van de Ven,VfL Wolfsburg,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Moravek,FC Augsburg,MIDFIELDER,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Gregoritsch,FC Augsburg,FORWARD,-10.0,16.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Caligiuri,FC Augsburg,MIDFIELDER,-28.0,48.0,1.0,122.0,130.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André,Hahn,FC Augsburg,FORWARD,9.0,23.0,66.0,106.0,61.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias,Strobl,FC Augsburg,MIDFIELDER,36.0,15.0,14.0,36.0,-29.0,95.0,27.0,47.0,59.0,49.0,15.0,86.0,19.0,86.0,52.0,0.0,23.0,45.0,2.0,-4.0,8.0,46.0,120.0,26.0,54.0,-8.0,0.0,19.0,52.0,-9.0,-20.0,0.0,0.0,0.0
Raphael,Framberger,FC Augsburg,DEFENDER,38.0,-17.0,84.0,59.0,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos,Gruezo,FC Augsburg,MIDFIELDER,44.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian,Niederlechner,FC Augsburg,FORWARD,4.0,13.0,56.0,70.0,103.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey,Gouweleeuw,FC Augsburg,DEFENDER,4.0,88.0,118.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred,Finnbogason,FC Augsburg,FORWARD,32.0,47.0,33.0,92.0,-8.0,2.0,24.0,20.0,32.0,0.0,8.0,-73.0,13.0,0.0,24.0,-67.0,-9.0,10.0,-14.0,,,,,,,,,,,,,,,
Noah Joel,Sarenren Bazee,FC Augsburg,MIDFIELDER,-28.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas,Dorsch,FC Augsburg,MIDFIELDER,-20.0,45.0,47.0,85.0,105.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafal,Gikiewicz,FC Augsburg,GOAL_KEEPER,28.0,142.0,5.0,168.0,109.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arne,Maier,FC Augsburg,MIDFIELDER,-26.0,0.0,16.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece,Oxford,FC Augsburg,DEFENDER,127.0,40.0,104.0,171.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix,Uduokhai,FC Augsburg,DEFENDER,63.0,81.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio,Córdova,FC Augsburg,FORWARD,16.0,18.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredrik,Jensen,FC Augsburg,MIDFIELDER,60.0,32.0,-26.0,-2.0,28.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads,Pedersen,FC Augsburg,DEFENDER,-21.0,-1.0,5.0,0.0,53.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iago Amaral,Borduchi,FC Augsburg,DEFENDER,14.0,53.0,-42.0,107.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben,Vargas,FC Augsburg,MIDFIELDER,13.0,58.0,51.0,66.0,170.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim,Civeja,FC Augsburg,MIDFIELDER,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,-4.0,-11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tomás,Koubek,FC Augsburg,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Gumny,FC Augsburg,DEFENDER,16.0,50.0,-6.0,67.0,106.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederik Franck,Winther,FC Augsburg,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andi Avdi,Zeqiri,FC Augsburg,FORWARD,27.0,48.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Akpoguma,TSG 1889 Hoffenheim,DEFENDER,98.0,103.0,118.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havard,Nordtveit,TSG 1889 Hoffenheim,DEFENDER,0.0,0.0,52.0,0.0,117.0,2.0,0.0,129.0,51.0,34.0,145.0,79.0,2.0,31.0,30.0,33.0,,,,,,,,,,,,,,,,,,
Sebastian,Rudy,TSG 1889 Hoffenheim,MIDFIELDER,197.0,61.0,87.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Vogt,TSG 1889 Hoffenheim,DEFENDER,114.0,71.0,56.0,20.0,62.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver,Baumann,TSG 1889 Hoffenheim,GOAL_KEEPER,127.0,89.0,156.0,50.0,115.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermin,Bicakcic,TSG 1889 Hoffenheim,DEFENDER,115.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihlas,Bebou,TSG 1889 Hoffenheim,FORWARD,30.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Hübner,TSG 1889 Hoffenheim,DEFENDER,0.0,96.0,-8.0,93.0,203.0,191.0,179.0,115.0,34.0,0.0,153.0,111.0,75.0,190.0,97.0,86.0,25.0,77.0,-14.0,151.0,24.0,103.0,20.0,-70.0,115.0,272.0,107.0,,,,,,,
Florian,Grillitsch,TSG 1889 Hoffenheim,MIDFIELDER,-7.0,108.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel,Kaderábek,TSG 1889 Hoffenheim,DEFENDER,13.0,117.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mijat,Gacinovic,TSG 1889 Hoffenheim,MIDFIELDER,49.0,26.0,7.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,Bruun Larsen,TSG 1889 Hoffenheim,MIDFIELDER,175.0,131.0,59.0,-32.0,70.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrej,Kramaric,TSG 1889 Hoffenheim,FORWARD,355.0,112.0,62.0,66.0,104.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis,Geiger,TSG 1889 Hoffenheim,MIDFIELDER,115.0,-6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,Posch,TSG 1889 Hoffenheim,DEFENDER,127.0,83.0,-3.0,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua,Brenet,TSG 1889 Hoffenheim,DEFENDER,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Christoph,Baumgartner,TSG 1889 Hoffenheim,MIDFIELDER,66.0,28.0,140.0,33.0,107.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris,Richards,TSG 1889 Hoffenheim,DEFENDER,18.0,75.0,119.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasim,Adams,TSG 1889 Hoffenheim,DEFENDER,77.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,39.0,0.0,-28.0,-5.0,126.0,82.0,111.0,17.0,0.0,0.0,132.0,0.0,94.0,33.0,0.0,0.0,,,,,,,,,,
Sargis,Adamyan,TSG 1889 Hoffenheim,FORWARD,148.0,2.0,-23.0,6.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Raum,TSG 1889 Hoffenheim,DEFENDER,106.0,91.0,33.0,45.0,165.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp,Pentke,TSG 1889 Hoffenheim,GOAL_KEEPER,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,114.0,
Angelo,Stiller,TSG 1889 Hoffenheim,MIDFIELDER,97.0,146.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Skov,TSG 1889 Hoffenheim,MIDFIELDER,-18.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diadie,Samassékou,TSG 1889 Hoffenheim,MIDFIELDER,58.0,-8.0,64.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melayro,Bogarde,TSG 1889 Hoffenheim,DEFENDER,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,-20.0,0.0,0.0,23.0,50.0,0.0,17.0,14.0,0.0,0.0,57.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,
Munas,Dabbur,TSG 1889 Hoffenheim,FORWARD,55.0,41.0,76.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco,John,TSG 1889 Hoffenheim,DEFENDER,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georginio,Rutter,TSG 1889 Hoffenheim,FORWARD,204.0,-2.0,-18.0,10.0,27.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christoph,Kramer,Borussia Mönchengladbach,MIDFIELDER,45.0,-14.0,15.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthias,Ginter,Borussia Mönchengladbach,DEFENDER,93.0,11.0,92.0,58.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas,Hofmann,Borussia Mönchengladbach,MIDFIELDER,20.0,68.0,189.0,36.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony,Jantschke,Borussia Mönchengladbach,DEFENDER,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars,Stindl,Borussia Mönchengladbach,MIDFIELDER,122.0,-57.0,72.0,283.0,7.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,Herrmann,Borussia Mönchengladbach,MIDFIELDER,42.0,-13.0,46.0,144.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias,Sippel,Borussia Mönchengladbach,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,132.0,43.0,0.0,0.0,0.0,0.0
Yann,Sommer,Borussia Mönchengladbach,GOAL_KEEPER,143.0,-39.0,1.0,119.0,18.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico,Elvedi,Borussia Mönchengladbach,DEFENDER,79.0,52.0,54.0,99.0,46.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breel,Embolo,Borussia Mönchengladbach,FORWARD,17.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamadou,Doucouré,Borussia Mönchengladbach,DEFENDER,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
László,Bénes,Borussia Mönchengladbach,MIDFIELDER,14.0,35.0,-10.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis,Zakaria,Borussia Mönchengladbach,MIDFIELDER,48.0,182.0,51.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Beyer,Borussia Mönchengladbach,DEFENDER,72.0,101.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keanan,Bennetts,Borussia Mönchengladbach,MIDFIELDER,34.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian,Neuhaus,Borussia Mönchengladbach,MIDFIELDER,90.0,46.0,76.0,70.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alassane,Plea,Borussia Mönchengladbach,FORWARD,133.0,13.0,14.0,120.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torben,Müsel,Borussia Mönchengladbach,MIDFIELDER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,Lainer,Borussia Mönchengladbach,DEFENDER,70.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannes,Wolf,Borussia Mönchengladbach,MIDFIELDER,49.0,9.0,-3.0,71.0,19.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus,Thuram,Borussia Mönchengladbach,FORWARD,25.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramy,Bensebaini,Borussia Mönchengladbach,DEFENDER,40.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor,Noß,Borussia Mönchengladbach,MIDFIELDER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,Netz,Borussia Mönchengladbach,DEFENDER,-9.0,114.0,-2.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,Scally,Borussia Mönchengladbach,DEFENDER,77.0,55.0,104.0,83.0,58.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Kouadio,Koné,Borussia Mönchengladbach,MIDFIELDER,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik,Kohr,FSV Mainz 05,MIDFIELDER,-4.0,62.0,155.0,101.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Brosinski,FSV Mainz 05,DEFENDER,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adám,Szalai,FSV Mainz 05,FORWARD,-12.0,190.0,27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,Bell,FSV Mainz 05,DEFENDER,141.0,17.0,113.0,106.0,97.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Stöger,FSV Mainz 05,MIDFIELDER,9.0,114.0,0.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin,Zentner,FSV Mainz 05,GOAL_KEEPER,179.0,61.0,123.0,113.0,90.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,Hack,FSV Mainz 05,DEFENDER,176.0,9.0,54.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim,Onisiwo,FSV Mainz 05,FORWARD,88.0,65.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn,Dahmen,FSV Mainz 05,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,106.0
Jonathan,Burkardt,FSV Mainz 05,FORWARD,70.0,-1.0,69.0,154.0,19.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson-Lenda,Lucoqui,FSV Mainz 05,DEFENDER,206.0,111.0,52.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa,Niakhate,FSV Mainz 05,DEFENDER,204.0,22.0,141.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarón,Martín,FSV Mainz 05,DEFENDER,105.0,73.0,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro,Barreiro Martins,FSV Mainz 05,MIDFIELDER,103.0,-24.0,153.0,85.0,55.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Paul,Boëtius,FSV Mainz 05,MIDFIELDER,-3.0,141.0,86.0,64.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jae-Sung,Lee,FSV Mainz 05,MIDFIELDER,80.0,-4.0,27.0,26.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus,Ingvartsen,FSV Mainz 05,MIDFIELDER,27.0,19.0,130.0,17.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah,St. Juste,FSV Mainz 05,DEFENDER,30.0,138.0,171.0,96.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas,Tauer,FSV Mainz 05,FORWARD,86.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matondo-Merveille,Papela,FSV Mainz 05,MIDFIELDER,0.0,-18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,Nebel,FSV Mainz 05,MIDFIELDER,58.0,-5.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton,Stach,FSV Mainz 05,MIDFIELDER,26.0,76.0,22.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvan Dominic,Widmer,FSV Mainz 05,DEFENDER,89.0,42.0,229.0,74.0,82.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branimir,Hrgota,Greuther Fürth,FORWARD,-15.0,185.0,-3.0,-5.0,108.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sascha,Burchert,Greuther Fürth,GOAL_KEEPER,122.0,50.0,69.0,24.0,24.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian,Green,Greuther Fürth,MIDFIELDER,-13.0,91.0,6.0,11.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havard,Nielsen,Greuther Fürth,FORWARD,-1.0,36.0,22.0,4.0,78.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,Seguin,Greuther Fürth,MIDFIELDER,13.0,86.0,0.0,12.0,101.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gideon,Jung,Greuther Fürth,DEFENDER,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy,Dudziak,Greuther Fürth,MIDFIELDER,12.0,-16.0,39.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,Christiansen,Greuther Fürth,MIDFIELDER,30.0,30.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil,Berggreen,Greuther Fürth,FORWARD,84.0,48.0,106.0,23.0,56.0,-12.0,20.0,-12.0,12.0,213.0,87.0,37.0,48.0,26.0,0.0,,,,,,,,,,,,,,,,,,,
Timothy,Tillman,Greuther Fürth,MIDFIELDER,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gian-Luca,Itter,Greuther Fürth,DEFENDER,55.0,55.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin,Hoogma,Greuther Fürth,DEFENDER,32.0,102.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Nunoo,Sarpei,Greuther Fürth,MIDFIELDER,-1.0,16.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian,Fein,Greuther Fürth,MIDFIELDER,-3.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jetro,Willems,Greuther Fürth,DEFENDER,40.0,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon,Asta,Greuther Fürth,DEFENDER,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Griesbeck,Greuther Fürth,MIDFIELDER,19.0,-46.0,16.0,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius,Funk,Greuther Fürth,GOAL_KEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils,Seufert,Greuther Fürth,MIDFIELDER,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian,Bauer,Greuther Fürth,DEFENDER,24.0,45.0,42.0,-7.0,-15.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessic,Ngankam,Greuther Fürth,FORWARD,0.0,0.0,76.0,0.0,-35.0,0.0,15.0,-11.0,13.0,0.0,14.0,22.0,-20.0,12.0,-10.0,0.0,0.0,-20.0,-7.0,123.0,22.0,-11.0,,,,,,,,,,,,
Dickson,Abiama,Greuther Fürth,FORWARD,80.0,86.0,7.0,-8.0,-2.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdourahmane,Barry,Greuther Fürth,DEFENDER,1.0,-8.0,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias,Kratzer,Greuther Fürth,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco,Meyerhöfer,Greuther Fürth,DEFENDER,1.0,70.0,69.0,41.0,54.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie,Leweling,Greuther Fürth,MIDFIELDER,95.0,0.0,4.0,-22.0,-17.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Luca,Kehr,Greuther Fürth,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Jan,Itten,Greuther Fürth,FORWARD,31.0,6.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,Viergever,Greuther Fürth,DEFENDER,25.0,47.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas,Stark,Hertha BSC,DEFENDER,20.0,51.0,22.0,100.0,152.0,-52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin,Plattenhardt,Hertha BSC,DEFENDER,55.0,40.0,42.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
