Ort;Plz;Bundesland
Bramstedt;27628;Niedersachsen
Bramstedtlund;25926;Schlewig-Holstein
Brand;95682;Bayern
Brande-Hörnerkirchen;25364;Schlewig-Holstein
Brandenburg;14770;Brandenburg
Brandenburg;14772;Brandenburg
Brandenburg;14774;Brandenburg
Brandenburg;14776;Brandenburg
Brandenstein;39307;Sachsen-Anhalt
Brand-Erbisdorf;9618;Sachsen
Branderoda;6632;Sachsen-Anhalt
Brandfeld;89335;Bayern
Brandhof;73453;Baden-Württemberg
Brandhorst;6785;Sachsen-Anhalt
Brandis;4821;Sachsen
Brandis;4916;Brandenburg
Brandmoor;25791;Schlewig-Holstein
Brandscheid;54608;Rheinland-Pfalz
Brandscheid;56459;Rheinland-Pfalz
Brandshagen;18519;Mecklenburg-Vorpommern
Brannenburg;83098;Bayern
Braschwitz;6188;Sachsen-Anhalt
Bräsen;6862;Sachsen-Anhalt
Brattendorf;98673;Thüringen
Braubach;56338;Rheinland-Pfalz
Brauneberg;54472;Rheinland-Pfalz
Braunfels;35619;Hessen
Braunichswalde;7580;Thüringen
Braunlage;38700;Niedersachsen
Bräunlesrain;73569;Baden-Württemberg
Bräunlingen;78199;Baden-Württemberg
Bräunrode;6333;Sachsen-Anhalt
Braunsbach;74542;Baden-Württemberg
Braunsbedra;6242;Sachsen-Anhalt
Braunsberg;16818;Brandenburg
Braunschweig;38100;Niedersachsen
Braunschweig;38102;Niedersachsen
Braunschweig;38104;Niedersachsen
Braunschweig;38106;Niedersachsen
Braunschweig;38108;Niedersachsen
Braunschweig;38110;Niedersachsen
Braunschweig;38112;Niedersachsen
Braunschweig;38114;Niedersachsen
Braunschweig;38116;Niedersachsen
Braunschweig;38118;Niedersachsen
Braunschweig;38120;Niedersachsen
Braunschweig;38122;Niedersachsen
Braunschweig;38124;Niedersachsen
Braunschweig;38126;Niedersachsen
Braunschwende;6543;Sachsen-Anhalt
Braunsdorf;1737;Sachsen
Braunsdorf;7955;Thüringen
Braunsdorf;15518;Brandenburg
Bräunsdorf;9212;Sachsen
Bräunsdorf;9603;Sachsen
Braunshorn;56288;Rheinland-Pfalz
Braunsroda;6577;Thüringen
Braunsroda;6648;Sachsen-Anhalt
Braunweiler;55595;Rheinland-Pfalz
Brauweiler;55606;Rheinland-Pfalz
Brebel;24392;Schlewig-Holstein
Brebelmoor;24888;Schlewig-Holstein
Brechen;65611;Hessen
Brecht;54636;Rheinland-Pfalz
Breckerfeld;58339;Nordrhein-Westfalen
Breddenberg;26897;Niedersachsen
Breddin;16845;Brandenburg
Breddorf;27412;Niedersachsen
Breddorfermoor;27726;Niedersachsen
Bredenbek;24796;Schlewig-Holstein
Bredenfelde;17153;Mecklenburg-Vorpommern
Bredereiche;16775;Brandenburg
Bredow;14641;Brandenburg
Bredstedt;25821;Schlewig-Holstein
Breechen;17506;Mecklenburg-Vorpommern
Breege;18556;Mecklenburg-Vorpommern
Breese;19322;Brandenburg
Breesen;17091;Mecklenburg-Vorpommern
Breesen;18334;Mecklenburg-Vorpommern
Breesen;19205;Mecklenburg-Vorpommern
Breest;17089;Mecklenburg-Vorpommern
Bregenstedt;39343;Sachsen-Anhalt
Brehme;37339;Thüringen
Brehna;6796;Sachsen-Anhalt
Breidenbach;35236;Hessen
Breiholz;24797;Schlewig-Holstein
Breisach;79206;Baden-Württemberg
Breit;54426;Rheinland-Pfalz
Breitbrunn;83254;Bayern
Breitbrunn;96151;Bayern
Breitenau;3249;Brandenburg
Breitenau;56237;Rheinland-Pfalz
Breitenau;67661;Rheinland-Pfalz
Breitenbach;6528;Sachsen-Anhalt
Breitenbach;6712;Sachsen-Anhalt
Breitenbach;36287;Hessen
Breitenbach;37327;Thüringen
Breitenbach;66916;Rheinland-Pfalz
Breitenbach;98553;Thüringen
Breitenberg;25597;Schlewig-Holstein
Breitenberg;94139;Bayern
Breitenbrunn;8359;Sachsen
Breitenbrunn;87739;Bayern
Breitenbrunn;92363;Bayern
Breitenburg;25524;Schlewig-Holstein
Breitendeich;21734;Niedersachsen
Breitenfeld;8258;Sachsen
Breitenfeld;39638;Sachsen-Anhalt
Breitenfelde;23881;Schlewig-Holstein
Breitengüßbach;96149;Bayern
Breitenhagen;39240;Sachsen-Anhalt
Breitenhain;7806;Thüringen
Breitenheerda;7407;Thüringen
Breitenheim;55592;Rheinland-Pfalz
Breitenstein;6547;Sachsen-Anhalt
Breitenstein;67466;Rheinland-Pfalz
Breitenthal;55758;Rheinland-Pfalz
Breitenthal;86488;Bayern
Breitenworbis;37339;Thüringen
Breitingen;89183;Baden-Württemberg
Breitnau;79874;Baden-Württemberg
Breitreute;78733;Baden-Württemberg
Breitscheid;35767;Hessen
Breitscheid;53547;Rheinland-Pfalz
Breitscheid;55422;Rheinland-Pfalz
Breitscheidt;57539;Rheinland-Pfalz
Breitungen;6536;Sachsen-Anhalt
Breitungen;98597;Thüringen
Breitwies;94060;Bayern
Brekendorf;24811;Schlewig-Holstein
Breklum;25821;Schlewig-Holstein
Bremberg;56370;Rheinland-Pfalz
Bremen;28195;Bremen
Bremen;28197;Bremen
Bremen;28199;Bremen
Bremen;28201;Bremen
Bremen;28203;Bremen
Bremen;28205;Bremen
Bremen;28207;Bremen
Bremen;28209;Bremen
Bremen;28211;Bremen
Bremen;28213;Bremen
Bremen;28215;Bremen
Bremen;28217;Bremen
Bremen;28219;Bremen
Bremen;28237;Bremen
Bremen;28239;Bremen
Bremen;28259;Bremen
Bremen;28277;Bremen
Bremen;28279;Bremen
Bremen;28307;Bremen
Bremen;28309;Bremen
Bremen;28325;Bremen
Bremen;28327;Bremen
Bremen;28329;Bremen
Bremen;28355;Bremen
Bremen;28357;Bremen
Bremen;28359;Bremen
Bremen;28717;Bremen
Bremen;28719;Bremen
Bremen;28755;Bremen
Bremen;28757;Bremen
Bremen;28759;Bremen
Bremen;28777;Bremen
Bremen;28779;Bremen
Bremen;36419;Thüringen
Bremerhaven;27568;Bremen
Bremerhaven;27570;Bremen
Bremerhaven;27572;Bremen
Bremerhaven;27574;Bremen
Bremerhaven;27576;Bremen
Bremerhaven;27578;Bremen
Bremerhaven;27580;Bremen
Bremervörde;27432;Niedersachsen
Bremke;37620;Niedersachsen
Bremm;56814;Rheinland-Pfalz
Bremricherhof;67822;Rheinland-Pfalz
Bremscheid;56588;Rheinland-Pfalz
Bremsdorf;15890;Brandenburg
Bremsnitz;7646;Thüringen
Brenitz;3253;Brandenburg
Brenk;56651;Rheinland-Pfalz
Brennberg;93179;Bayern
Brensbach;64395;Hessen
Brenz;19306;Mecklenburg-Vorpommern
Bresahn;23883;Schlewig-Holstein
Bresch;19348;Brandenburg
Bresegard;19230;Mecklenburg-Vorpommern
Bresegard;19294;Mecklenburg-Vorpommern
Bresewitz;18356;Mecklenburg-Vorpommern
Breslack;15898;Brandenburg
Brest;21698;Niedersachsen
Bretleben;6556;Thüringen
Bretnig-Hauswalde;1900;Sachsen
Bretsch;39606;Sachsen-Anhalt
Bretten;75015;Baden-Württemberg
Bretthausen;56479;Rheinland-Pfalz
Brettin;39307;Sachsen-Anhalt
Bretzenheim;55559;Rheinland-Pfalz
Bretzfeld;74626;Baden-Württemberg
Breuberg;64747;Hessen
Breuna;34479;Hessen
Breunigweiler;67725;Rheinland-Pfalz
Brevörde;37647;Niedersachsen
Brey;56321;Rheinland-Pfalz
Breydin;16230;Brandenburg
Brickeln;25712;Schlewig-Holstein
Briedel;56867;Rheinland-Pfalz
Briedeler Heck;56850;Rheinland-Pfalz
Brieden;56829;Rheinland-Pfalz
Briedern;56820;Rheinland-Pfalz
Briefer;83739;Bayern
Brielow;14778;Brandenburg
Briescht;15848;Brandenburg
Brieselang;14656;Brandenburg
Briesen;3096;Brandenburg
Briesen;15518;Brandenburg
Briesen;15757;Brandenburg
Briesensee;15913;Brandenburg
Brieske;1968;Brandenburg
Brieskow-Finkenheerd;15295;Brandenburg
Briest;14778;Brandenburg
Briest;19249;Mecklenburg-Vorpommern
Brietlingen;21382;Niedersachsen
Brietz;29413;Sachsen-Anhalt
Brietzig;17309;Mecklenburg-Vorpommern
Brigachtal;78086;Baden-Württemberg
Briggow;17153;Mecklenburg-Vorpommern
Brille;37639;Niedersachsen
Brilon;59929;Nordrhein-Westfalen
Brimingen;54646;Rheinland-Pfalz
Brinjahe;24816;Schlewig-Holstein
Brinkum;26835;Niedersachsen
Bristow;17166;Mecklenburg-Vorpommern
Britz;16230;Brandenburg
Bröbberow;18258;Mecklenburg-Vorpommern
Brockau;8491;Sachsen
Bröckau;6724;Sachsen-Anhalt
Brockel;27386;Niedersachsen
Bröckel;29356;Niedersachsen
Brockscheid;54552;Rheinland-Pfalz
Brockum;49448;Niedersachsen
Brockwitz;1561;Sachsen
Brodau;4509;Sachsen
Brodenbach;56332;Rheinland-Pfalz
Brodersby;24398;Schlewig-Holstein
Brodersby;24864;Schlewig-Holstein
Brodersdorf;24235;Schlewig-Holstein
Broderstorf;18184;Mecklenburg-Vorpommern
Brodhagen;18209;Mecklenburg-Vorpommern
Brodowin;16230;Brandenburg
Brohl;56754;Rheinland-Pfalz
Brohl-Lützing;56656;Rheinland-Pfalz
Brohm;17099;Mecklenburg-Vorpommern
Bröhsen;4668;Sachsen
Broichsdorf;16259;Brandenburg
Brokdorf;25576;Schlewig-Holstein
Brokdorferlandscheide;25554;Schlewig-Holstein
Brokstedt;24616;Schlewig-Holstein
Brombach;69434;Baden-Württemberg
Brombachtal;64753;Hessen
Brome;38465;Niedersachsen
Brommelund;25821;Schlewig-Holstein
Brömsenberg;19249;Mecklenburg-Vorpommern
Bromskirchen;59969;Hessen
Bronkow;3205;Brandenburg
Bronnerlehe;87757;Bayern
Broock;19386;Mecklenburg-Vorpommern
Brook;23948;Mecklenburg-Vorpommern
Brookhusen;18258;Mecklenburg-Vorpommern
Brößnitz;1561;Sachsen
Bröthen;21514;Schlewig-Holstein
Brotterode;98599;Thüringen
Brottewitz;4895;Brandenburg
Brubbach;57614;Rheinland-Pfalz
Bruch;54518;Rheinland-Pfalz
Bruchertseifen;57539;Rheinland-Pfalz
Bruchhagen;16278;Brandenburg
Bruchhausen;53572;Rheinland-Pfalz
Bruchhausen-Vilsen;27305;Niedersachsen
Bruchheim;4643;Sachsen
Bruchköbel;63486;Hessen
Bruchmühlbach-Miesau;66892;Rheinland-Pfalz
Bruchmühle;15370;Brandenburg
Bruchmühle;67281;Rheinland-Pfalz
Bruchsal;76646;Baden-Württemberg
Bruchsiedlung;76872;Rheinland-Pfalz
Bruchstedt;99955;Thüringen
Bruchweiler;55758;Rheinland-Pfalz
Bruchweiler-Bärenbach;76891;Rheinland-Pfalz
Bruck;85567;Bayern
Bruck;92436;Bayern
Brück;14822;Brandenburg
Bruckberg;84079;Bayern
Bruckberg;91590;Bayern
Brücken;6528;Sachsen-Anhalt
Brücken;55767;Rheinland-Pfalz
Brücken;66904;Rheinland-Pfalz
Brückenmühle;56754;Rheinland-Pfalz
Bruckerhof;82380;Bayern
Brückermark;14778;Brandenburg
Bruckmaier;82515;Bayern
Bruckmühl;83052;Bayern
Brücktal;53539;Rheinland-Pfalz
Brudersdorf;17159;Mecklenburg-Vorpommern
Brüel;19412;Mecklenburg-Vorpommern
Brügge;16928;Brandenburg
Brügge;24582;Schlewig-Holstein
Brüggen;31033;Niedersachsen
Brüggen;41379;Nordrhein-Westfalen
Brüheim;99869;Thüringen
Brühl;50321;Nordrhein-Westfalen
Brühl;68782;Baden-Württemberg
Brühlhof;89611;Baden-Württemberg
Brumby;39240;Sachsen-Anhalt
Brunau;39624;Sachsen-Anhalt
Brunkau;39517;Sachsen-Anhalt
Brünkendorf;16928;Brandenburg
Brunn;16845;Brandenburg
Brunn;17039;Mecklenburg-Vorpommern
Brunn;84405;Bayern
Brunn;93164;Bayern
Brünn;98673;Thüringen
Brünndling-Alm;83346;Bayern
Brunne;16833;Brandenburg
Brunnen;86564;Bayern
Brunnhartshausen;36452;Thüringen
Brunnstadt;83362;Bayern
Brunnthal;63925;Bayern
Brunnthal;85649;Bayern
Brunow;16259;Brandenburg
Brunow;19372;Mecklenburg-Vorpommern
Brunsbek;22946;Schlewig-Holstein
Brunsbüttel;25541;Schlewig-Holstein
Brunsleberfeld;38154;Niedersachsen
Brunsmark;23883;Schlewig-Holstein
Brunstorf;21524;Schlewig-Holstein
Brünzow;17509;Mecklenburg-Vorpommern
Bruschied;55606;Rheinland-Pfalz
Brusendorf;15749;Brandenburg
Brüsewitz;19071;Mecklenburg-Vorpommern
Brüssow;17326;Brandenburg
Bruttig-Fankel;56814;Rheinland-Pfalz
Brützkow;19217;Mecklenburg-Vorpommern
Bubach;56288;Rheinland-Pfalz
Bubenheim;55270;Rheinland-Pfalz
Bubenheim;67308;Rheinland-Pfalz
Bubenreuth;91088;Bayern
Bubesheim;89347;Bayern
Buborn;67742;Rheinland-Pfalz
Bubsheim;78585;Baden-Württemberg
Buch;39517;Sachsen-Anhalt
Buch;56290;Rheinland-Pfalz
Buch;56357;Rheinland-Pfalz
Buch;74532;Baden-Württemberg
Buch;84172;Bayern
Buch;85656;Bayern
Buch;89290;Bayern
Buch a. Wald;91592;Bayern
Bucha;6642;Sachsen-Anhalt
Bucha;7389;Thüringen
Bucha;7751;Thüringen
Buchbach;84428;Bayern
Buchbach;98743;Thüringen
Buchberg;83371;Bayern
Buchbrunn;97320;Bayern
Buchdorf;86675;Bayern
Büchel;56823;Rheinland-Pfalz
Büchel;99638;Thüringen
Büchelborn;56340;Rheinland-Pfalz
Bücheloh;98693;Thüringen
Buchen;74722;Baden-Württemberg
Büchen;21514;Schlewig-Holstein
Buchenbach;79256;Baden-Württemberg
Büchenbach;91186;Bayern
Buchenberg;56130;Rheinland-Pfalz
Buchenberg;87474;Bayern
Büchenbeuren;55491;Rheinland-Pfalz
Buchenhaus;16818;Brandenburg
Buchenhof;18249;Mecklenburg-Vorpommern
Buchenhorst;18320;Mecklenburg-Vorpommern
Buchet;54608;Rheinland-Pfalz
Buchfart;99438;Thüringen
Buchhain;3253;Brandenburg
Buchheim;88637;Baden-Württemberg
Buchhof;73569;Baden-Württemberg
Buchhof;73577;Baden-Württemberg
Buchhof;89522;Baden-Württemberg
Buchhof Gem Hardthausen;74249;Baden-Württemberg
Buchhof Gem Öhringen;74249;Baden-Württemberg
Buchhofen;94533;Bayern
Buchholz;14547;Brandenburg
Buchholz;14823;Brandenburg
Buchholz;15345;Brandenburg
Buchholz;15518;Brandenburg
Buchholz;16928;Brandenburg
Buchholz;17209;Mecklenburg-Vorpommern
Buchholz;21244;Niedersachsen
Buchholz;23911;Schlewig-Holstein
Buchholz;25712;Schlewig-Holstein
Buchholz;29690;Niedersachsen
Buchholz;31710;Niedersachsen
Buchholz;39579;Sachsen-Anhalt
Buchholz;53567;Rheinland-Pfalz
Buchholz;56379;Rheinland-Pfalz
Buchholz;99762;Thüringen
Buchholz Gem Eckfeld;54531;Rheinland-Pfalz
Buchholz Gem Pantenburg;54531;Rheinland-Pfalz
Buchholzbergerhof;66500;Rheinland-Pfalz
Buchhorst;16928;Brandenburg
Buchhorst;21481;Schlewig-Holstein
Büchlberg;94124;Bayern
Buchloe;86807;Bayern
Buchmühle;37339;Thüringen
Buchmühle;74579;Baden-Württemberg
Buchow-Karpzow;14641;Brandenburg
Buchwäldchen;3229;Brandenburg
Buchwäldchen Ziegelei;3205;Brandenburg
Buckau;4895;Brandenburg
Buckau;14793;Brandenburg
Bückeburg;31675;Niedersachsen
Bücken;27333;Niedersachsen
Buckenhof;91054;Bayern
Bücknitz;14793;Brandenburg
Buckow;3205;Brandenburg
Buckow;14913;Brandenburg
Buckow;15377;Brandenburg
Buckow;15848;Brandenburg
Buckow;16230;Brandenburg
Buckow;16945;Brandenburg
Buckow b Großwudicke;14715;Brandenburg
Buckow b Nennhausen;14715;Brandenburg
Bückwitz;16845;Brandenburg
Buddenhagen;17440;Mecklenburg-Vorpommern
Büddenstedt;38372;Niedersachsen
Büdelsdorf;24782;Schlewig-Holstein
Büden;39291;Sachsen-Anhalt
Budenbach;55469;Rheinland-Pfalz
Budenheim;55257;Rheinland-Pfalz
Büdesheim;54610;Rheinland-Pfalz
Büdingen;63654;Hessen
Büdlich;54426;Rheinland-Pfalz
Bufleben;99869;Thüringen
Bugewitz;17398;Mecklenburg-Vorpommern
Buggenhagen;17440;Mecklenburg-Vorpommern
Buggingen;79426;Baden-Württemberg
Bugk;15859;Brandenburg
Bühl;77815;Baden-Württemberg
Buhla;37339;Thüringen
Buhlenberg;55767;Rheinland-Pfalz
Buhlendorf;39264;Sachsen-Anhalt
Bühlertal;77830;Baden-Württemberg
Bühlertann;74424;Baden-Württemberg
Bühlerzell;74426;Baden-Württemberg
Bühlerzimmern;74523;Baden-Württemberg
Bühne;38835;Sachsen-Anhalt
Bühnsdorf;23845;Schlewig-Holstein
Bühren;37127;Niedersachsen
Bühren;49685;Niedersachsen
Buko;6869;Sachsen-Anhalt
Bülkau;21782;Niedersachsen
Bullay;56859;Rheinland-Pfalz
Bullendorf;16928;Brandenburg
Bullenkuhlen;25355;Schlewig-Holstein
Bülow;17166;Mecklenburg-Vorpommern
Bülow;18276;Mecklenburg-Vorpommern
Bülow;19089;Mecklenburg-Vorpommern
Bülow;19217;Mecklenburg-Vorpommern
Bülstedt;27412;Niedersachsen
Bülstringen;39345;Sachsen-Anhalt
Bülzig;6895;Sachsen-Anhalt
Bunde;26831;Niedersachsen
Bünde;32257;Nordrhein-Westfalen
Bundenbach;55626;Rheinland-Pfalz
Bundenthal;76891;Rheinland-Pfalz
Bunderhee;26831;Niedersachsen
Bundorf;97494;Bayern
Bünsche;14715;Brandenburg
Bünsdorf;24794;Schlewig-Holstein
Bunsoh;25767;Schlewig-Holstein
Burbach;54597;Rheinland-Pfalz
Burbach;57299;Nordrhein-Westfalen
Bürchau;79683;Baden-Württemberg
Bürdenbach;56593;Rheinland-Pfalz
Büren;33142;Nordrhein-Westfalen
Burg;2979;Sachsen
Burg;3096;Brandenburg
Burg;23769;Schlewig-Holstein
Burg;25712;Schlewig-Holstein
Burg;39288;Sachsen-Anhalt
Burg;54646;Rheinland-Pfalz
Burg;56843;Rheinland-Pfalz
Burg Hohenzollern;72379;Baden-Württemberg
Burg Stargard;17094;Mecklenburg-Vorpommern
Burgau;89331;Bayern
Burgberg;87545;Bayern
Burgbernheim;91593;Bayern
Burgbretzingen;74523;Baden-Württemberg
Burgbrohl;56659;Rheinland-Pfalz
Burgdorf;31303;Niedersachsen
Burgdorf;38272;Niedersachsen
Burgebrach;96138;Bayern
Bürgel;7616;Thüringen
Burgen;54472;Rheinland-Pfalz
Burgen;56332;Rheinland-Pfalz
Burgerfeld;25712;Schlewig-Holstein
Burggen;86977;Bayern
Burghagen;19348;Brandenburg
Burghammer;2979;Sachsen
Burghaslach;96152;Bayern
Burghaun;36151;Hessen
Burghausen;84489;Bayern
Burgheim;86666;Bayern
Burgholzhausen;6648;Sachsen-Anhalt
Burgk;7907;Thüringen
Burgkemnitz;6804;Sachsen-Anhalt
Burgkirchen;84508;Bayern
Burgkunstadt;96224;Bayern
Burglahr;57632;Rheinland-Pfalz
Burglauer;97724;Bayern
Burglemnitz;7356;Thüringen
Burglengenfeld;93133;Bayern
Burgliebenau;6184;Sachsen-Anhalt
Burgneudorf;2979;Sachsen
Burgoberbach;91595;Bayern
Burgpreppach;97496;Bayern
Burgrieden;88483;Baden-Württemberg
Burgsalach;91790;Bayern
Burgscheidungen;6636;Sachsen-Anhalt
Burgschwalbach;65558;Rheinland-Pfalz
Burgsdorf;6295;Sachsen-Anhalt
Burgsinn;97775;Bayern
Burgsponheim;55595;Rheinland-Pfalz
Burgstädt;9217;Sachsen
Bürgstadt;63927;Bayern
Burgstall;39517;Sachsen-Anhalt
Burgstall;83329;Bayern
Burgstein;8538;Sachsen
Burgstetten;71576;Baden-Württemberg
Burgthann;90559;Bayern
Burgwald;35099;Hessen
Burgwalde;37318;Thüringen
Burgwall;16775;Brandenburg
Burgwedel;30938;Niedersachsen
Burgwerben;6667;Sachsen-Anhalt
Burgwindheim;96154;Bayern
Burgwitz;7806;Thüringen
Burig;15537;Brandenburg
Burk;91596;Bayern
Burkardroth;97705;Bayern
Burkau;1906;Sachsen
Burkersdorf;7422;Thüringen
Burkersdorf;7570;Thüringen
Burkersdorf;7819;Thüringen
Burkersdorf Mulde;9629;Sachsen
Burkersroda;6647;Sachsen-Anhalt
Burkhardtsdorf;9235;Sachsen
Burkhardtsmühle;71111;Baden-Württemberg
Burladingen;72393;Baden-Württemberg
Burlage;49459;Niedersachsen
Burow;17089;Mecklenburg-Vorpommern
Burow;19348;Brandenburg
Burrweiler;76835;Rheinland-Pfalz
Burscheid;51399;Nordrhein-Westfalen
Burscheid;54673;Rheinland-Pfalz
Bürstadt;68642;Hessen
Burtenbach;89349;Bayern
Burtscheid;54424;Rheinland-Pfalz
Burweg;21709;Niedersachsen
Burxdorf;4895;Brandenburg
Buschdorf;15328;Brandenburg
Buschhaus;38350;Niedersachsen
Buschkuhnsdorf;6926;Sachsen-Anhalt
Buschow;14715;Brandenburg
Büschow;19417;Mecklenburg-Vorpommern
Buschvitz;18528;Mecklenburg-Vorpommern
Busdorf;24866;Schlewig-Holstein
Buseck;35418;Hessen
Busenberg;76891;Rheinland-Pfalz
Busendorf;14547;Brandenburg
Busenhausen;57612;Rheinland-Pfalz
Busenwurth;25719;Schlewig-Holstein
Büsingen;78266;Baden-Württemberg
Buskow;16816;Brandenburg
Büßholz;24398;Schlewig-Holstein
Büßleben;99198;Thüringen
Büßleben;99198;Thüringen
Büste;39624;Sachsen-Anhalt
Büsum;25761;Schlewig-Holstein
Büsumer Deichhausen;25761;Schlewig-Holstein
Butjadingen;26969;Niedersachsen
Bütow;17209;Mecklenburg-Vorpommern
Büttel;25572;Schlewig-Holstein
Büttelborn;64572;Hessen
Büttelkow;18230;Mecklenburg-Vorpommern
Buttelstedt;99439;Thüringen
Buttenheim;96155;Bayern
Buttenwiesen;86647;Bayern
Bütthard;97244;Bayern
Buttlar;36419;Thüringen
Büttlingen;23936;Mecklenburg-Vorpommern
Buttstädt;99628;Thüringen
Büttstedt;37359;Thüringen
Butzbach;35510;Hessen
Butzen;15913;Brandenburg
Bützer;14715;Brandenburg
Butzow;14778;Brandenburg
Butzow;17392;Mecklenburg-Vorpommern
Bützow;18246;Mecklenburg-Vorpommern
Buxheim;85114;Bayern
Buxheim;87740;Bayern
Buxtehude;21614;Niedersachsen
Byhleguhre;15913;Brandenburg
Byhlen;15913;Brandenburg
Caan;56237;Rheinland-Pfalz
Caaschwitz;7586;Thüringen
Cadenberge;21781;Niedersachsen
Cadolzburg;90556;Bayern
Cahnsdorf;15926;Brandenburg
Calau;3205;Brandenburg
Calbe;39240;Sachsen-Anhalt
Calberlah;38547;Niedersachsen
Calden;34379;Hessen
Callbach;67829;Rheinland-Pfalz
Callenberg;9337;Sachsen
Calmuth;53424;Rheinland-Pfalz
Calvörde;39359;Sachsen-Anhalt
Calw;75365;Baden-Württemberg
Cambs;19067;Mecklenburg-Vorpommern
Camburg;7774;Thüringen
Camin;19246;Mecklenburg-Vorpommern
Caminchen;15913;Brandenburg
Cammer;14822;Brandenburg
Cammin;17094;Mecklenburg-Vorpommern
Cammin;18195;Mecklenburg-Vorpommern
Campow;19217;Mecklenburg-Vorpommern
Capelle;35043;Hessen
Capelle;35043;Hessen
Cappel;27632;Niedersachsen
Cappeln;49692;Niedersachsen
Caputh;14548;Brandenburg
Carlow;19217;Mecklenburg-Vorpommern
Carlsberg;67316;Rheinland-Pfalz
Carlsfeld;8325;Sachsen
Carmzow;17291;Brandenburg
Carolinenhof;17219;Mecklenburg-Vorpommern
Carpin;17237;Mecklenburg-Vorpommern
Carzig;15326;Brandenburg
Casekirchen;6618;Sachsen-Anhalt
Casekow;16306;Brandenburg
Casel;3229;Brandenburg
Castell;97355;Bayern
Castrop-Rauxel;44575;Nordrhein-Westfalen
Castrop-Rauxel;44577;Nordrhein-Westfalen
Castrop-Rauxel;44579;Nordrhein-Westfalen
Castrop-Rauxel;44581;Nordrhein-Westfalen
Cattenstedt;38889;Sachsen-Anhalt
Catterfeld;99887;Thüringen
Cavertitz;4758;Sachsen
Celle;29221;Niedersachsen
Celle;29223;Niedersachsen
Celle;29225;Niedersachsen
Celle;29227;Niedersachsen
Celle;29229;Niedersachsen
Cham;93413;Bayern
Chamerau;93466;Bayern
Charlottenberg;56379;Rheinland-Pfalz
Charlottenfelde;23992;Mecklenburg-Vorpommern
Charlottenthal;18292;Mecklenburg-Vorpommern
Chemnitz;9111;Sachsen
Chemnitz;9112;Sachsen
Chemnitz;9113;Sachsen
Chemnitz;9114;Sachsen
Chemnitz;9116;Sachsen
Chemnitz;9117;Sachsen
Chemnitz;9119;Sachsen
Chemnitz;9120;Sachsen
Chemnitz;9122;Sachsen
Chemnitz;9123;Sachsen
Chemnitz;9125;Sachsen
Chemnitz;9126;Sachsen
Chemnitz;9127;Sachsen
Chemnitz;9128;Sachsen
Chemnitz;9130;Sachsen
Chemnitz;9131;Sachsen
Chieming;83339;Bayern
Chiemsee;83256;Bayern
Chörau;6386;Sachsen-Anhalt
Choren;4720;Sachsen
Chorin;16230;Brandenburg
Christdorf;16909;Brandenburg
Christes;98547;Thüringen
Christiansholm;24799;Schlewig-Holstein
Christianslust;25693;Schlewig-Holstein
Christinendorf;15806;Brandenburg
Christinenfeld;23948;Mecklenburg-Vorpommern
Christinenthal;25593;Schlewig-Holstein
Christophruhe;89522;Baden-Württemberg
Chursdorf;7907;Thüringen
Chursdorf;9322;Sachsen
Clausdorf;18233;Mecklenburg-Vorpommern
Clausdorf;18239;Mecklenburg-Vorpommern
Clausen;66978;Rheinland-Pfalz
Claußnitz;9236;Sachsen
Clausthal-Zellerfeld;38678;Niedersachsen
Cleebronn;74389;Baden-Württemberg
Clenze;29459;Niedersachsen
Clingen;99718;Thüringen
Cloppenburg;49661;Niedersachsen
Clöswitz;7407;Thüringen
Cobbel;39517;Sachsen-Anhalt
Cobbelsdorf;6869;Sachsen-Anhalt
Coburg;96450;Bayern
Cochem;56812;Rheinland-Pfalz
Cochstedt;6449;Sachsen-Anhalt
Coesfeld;48653;Nordrhein-Westfalen
Cölbe;35091;Hessen
Cölbe;35091;Hessen
Colbitz;39326;Sachsen-Anhalt
Colditz;4680;Sachsen
Collenberg;97903;Bayern
Collmen;4680;Sachsen
Colmberg;91598;Bayern
Colmnitz;1612;Sachsen
Colmnitz;1738;Sachsen
Colnrade;27243;Niedersachsen
Cölpin;17094;Mecklenburg-Vorpommern
Commichau;4680;Sachsen
Conow;17258;Mecklenburg-Vorpommern
Contwig;66497;Rheinland-Pfalz
Coppenbrügge;31863;Niedersachsen
Coppengrave;31091;Niedersachsen
Cörmigk;6408;Sachsen-Anhalt
Cornberg;36219;Hessen
Cosa;6369;Sachsen-Anhalt
Coschen;15898;Brandenburg
Cösitz;6369;Sachsen-Anhalt
Cospeda;7751;Thüringen
Cospeda;7751;Thüringen
Cossebaude;1462;Sachsen
Cossebaude;1462;Sachsen
Cossengrün;7985;Thüringen
Coswig;1640;Sachsen
Coswig;6869;Sachsen-Anhalt
Cöthen;16259;Brandenburg
Cottbus;3042;Brandenburg
Cottbus;3044;Brandenburg
Cottbus;3046;Brandenburg
Cottbus;3048;Brandenburg
Cottbus;3050;Brandenburg
Cottbus;3051;Brandenburg
Cottbus;3052;Brandenburg
Cottbus;3053;Brandenburg
Cottbus;3054;Brandenburg
Cottbus;3055;Brandenburg
Cottendorf;99326;Thüringen
Crailsheim;74564;Baden-Württemberg
Cramberg;65558;Rheinland-Pfalz
Cramme;38312;Niedersachsen
Cramonshagen;19071;Mecklenburg-Vorpommern
Craupe;3205;Brandenburg
